parameter,value
A_hs,0.09543199999999999
csv_path,R1233zdE.csv
csv_path_inv,R1233zdE_inv.csv
W_ec,0.37
L_ec,0.355
t_ec_bt,0.01
t_ec,0.03
t_ec_up,0.0
k_ec,390
H_ec,0.089
d_e_ec_w,0.18706175847560777
d_e_ec_l,0.18380574631056873
r_cc,0.17
t_cc_bt,0.005
t_cc,0.005
t_cc_up,0.005
H_cc,0.12
d_e_cc,0.3448320175347159
k_flange,16
t_flange,0.004
l_flange,0.058
w_flange,0.1
l_flange_hole,0.016
w_flange_hole,0.034
n_flange,4
w_ccpipe,0.09
l_ccpipe,0.05
L_ccpipe,0.19
W_wick,0.14100000000000001
L_wick,1.44
H_wick,0.006
A_wick,0.20304000000000003
k_wick,16
K_wick,3.2000000000000005e-13
r_max_pore,3e-06
epsilon_wick,0.6
contact_angle,0.17453292519943295
n_gr,800
w_gr,0.002
h_gr,0.002
L_gr,0.056
d_gr,0.002
d_i_vl,0.021500000000000002
d_o_vl,0.0254
L_vl,15
t_insu_vl,0.05
k_vl,16
k_insu_vl,0.004
d_o_insu_vl,0.1254
d_i_cl,0.0165
d_o_cl,0.019100000000000002
L_cl,15
k_cl,16
k_insu_cl,1000
d_i_ll,0.0165
d_o_ll,0.019100000000000002
L_ll,15
t_insu_ll,0.05
k_ll,16
k_insu_ll,0.004
d_o_insu_ll,0.11910000000000001
T_amb,303.15
T_sink,303.15
alpha,5000
h_hs_ec,4000
h_out,20.0
h_sink,800.0
grav_ac,9.8
num_cal_ec,100
num_cal_vl,100
num_cal_cl,200
num_cal_ll,100
